                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.90057,                0.95215,                 1.1349,                0.86742,                0.67959,                0.75427,                  0.438,                 1.4667,                 1.1396,                   1.46,              0.0007558,              0.0007558,              0.0007558
                     77,                0.89207,                0.94624,                 1.1295,                0.85045,                  0.679,                0.74764,                0.41918,                 1.5378,                 1.1999,                 1.5236,              0.0007525,              0.0007525,              0.0007525
                     78,                0.88949,                0.93893,                 1.1289,                0.86469,                0.65426,                0.74714,                0.43141,                 1.4718,                  1.168,                 1.4814,              0.0007492,              0.0007492,              0.0007492
                     79,                0.88311,                0.92858,                  1.126,                0.87524,                0.69217,                0.76315,                0.41228,                 1.5673,                 1.1428,                 1.5389,              0.0007459,              0.0007459,              0.0007459
                     80,                0.89672,                0.93673,                 1.1317,                0.84572,                0.68332,                0.75098,                0.43431,                 1.4796,                 1.1368,                 1.4748,              0.0007426,              0.0007426,              0.0007426
                     81,                0.87662,                0.92236,                 1.1225,                 0.8251,                0.69973,                0.75318,                0.43921,                 1.4403,                 1.1422,                 1.4621,              0.0007393,              0.0007393,              0.0007393
                     82,                0.88351,                0.93077,                 1.1248,                0.82606,                0.71175,                0.75788,                0.43787,                 1.4819,                 1.1329,                  1.475,               0.000736,               0.000736,               0.000736
                     83,                0.87901,                0.92495,                 1.1246,                0.90394,                0.67944,                0.76512,                0.44075,                 1.4801,                 1.1262,                 1.4698,              0.0007327,              0.0007327,              0.0007327
                     84,                0.87597,                0.91643,                 1.1199,                 0.8766,                 0.6874,                0.76254,                 0.4401,                 1.4621,                 1.1268,                 1.4665,              0.0007294,              0.0007294,              0.0007294
                     85,                0.88525,                 0.9195,                 1.1206,                0.86827,                 0.6901,                 0.7594,                0.45322,                 1.4337,                  1.105,                 1.4413,              0.0007261,              0.0007261,              0.0007261
                     86,                0.87548,                0.92484,                 1.1212,                0.85441,                 0.6935,                0.75717,                0.45003,                 1.4598,                 1.1035,                 1.4622,              0.0007228,              0.0007228,              0.0007228
                     87,                0.87382,                0.90534,                 1.1166,                0.86387,                0.68193,                 0.7532,                0.44061,                 1.4378,                  1.125,                 1.4581,              0.0007195,              0.0007195,              0.0007195
                     88,                0.88218,                0.91665,                 1.1217,                 0.8778,                0.68279,                0.76484,                 0.4564,                 1.4163,                  1.079,                 1.4429,              0.0007162,              0.0007162,              0.0007162
                     89,                0.87085,                 0.9044,                 1.1142,                0.86336,                0.70326,                0.76783,                0.44026,                 1.5109,                 1.1171,                 1.5079,              0.0007129,              0.0007129,              0.0007129
                     90,                0.87888,                0.91025,                 1.1165,                 0.8591,                0.69723,                 0.7634,                0.44152,                 1.4716,                 1.0925,                 1.4729,              0.0007096,              0.0007096,              0.0007096
                     91,                0.87619,                0.91403,                 1.1188,                0.88732,                0.68866,                0.76894,                0.45736,                 1.4154,                 1.0998,                 1.4283,              0.0007063,              0.0007063,              0.0007063
                     92,                0.86915,                0.89738,                 1.1107,                0.84386,                0.69637,                0.75701,                0.44299,                 1.4514,                 1.0908,                 1.4557,               0.000703,               0.000703,               0.000703
                     93,                0.87035,                0.90101,                 1.1167,                0.86013,                0.70323,                0.76775,                0.45388,                 1.4376,                 1.0942,                  1.448,              0.0006997,              0.0006997,              0.0006997
                     94,                0.87539,                0.89717,                 1.1162,                0.85813,                0.71464,                0.77357,                0.45367,                 1.4667,                 1.0946,                 1.4658,              0.0006964,              0.0006964,              0.0006964
                     95,                 0.8706,                0.89943,                 1.1126,                0.85335,                0.70354,                0.76236,                0.45193,                 1.4435,                 1.0903,                 1.4672,              0.0006931,              0.0006931,              0.0006931
                     96,                0.86409,                0.88897,                 1.1089,                0.88758,                0.67535,                0.76299,                0.45763,                 1.3902,                 1.0951,                 1.4294,              0.0006898,              0.0006898,              0.0006898
                     97,                  0.865,                0.89256,                 1.1117,                0.85677,                0.71094,                0.76983,                0.44159,                 1.4919,                 1.0833,                 1.4898,              0.0006865,              0.0006865,              0.0006865
                     98,                0.86419,                0.89156,                 1.1125,                0.85611,                0.70594,                0.76505,                0.43831,                 1.4749,                 1.0785,                 1.4695,              0.0006832,              0.0006832,              0.0006832
                     99,                0.85705,                0.88356,                  1.109,                0.85095,                0.69837,                0.76149,                0.46644,                 1.3785,                 1.0912,                 1.4029,              0.0006799,              0.0006799,              0.0006799
                    100,                0.85894,                0.88354,                 1.1086,                0.85394,                0.70312,                0.75821,                0.45797,                 1.4031,                 1.0771,                 1.4177,              0.0006766,              0.0006766,              0.0006766
                    101,                0.86326,                 0.8904,                 1.1077,                0.88992,                0.68791,                0.76949,                0.45174,                 1.4287,                 1.0722,                 1.4494,              0.0006733,              0.0006733,              0.0006733
                    102,                0.84748,                0.86812,                 1.0996,                0.89896,                0.67373,                0.76613,                0.45041,                 1.4544,                 1.0673,                 1.4621,                0.00067,                0.00067,                0.00067
                    103,                0.86158,                0.87886,                 1.1076,                0.85453,                0.69059,                0.76151,                0.44452,                 1.4848,                 1.0782,                 1.4792,              0.0006667,              0.0006667,              0.0006667
                    104,                0.85456,                0.88274,                 1.1065,                0.85955,                0.69974,                0.77137,                0.46294,                 1.4336,                 1.0619,                 1.4444,              0.0006634,              0.0006634,              0.0006634
                    105,                0.85496,                0.87294,                 1.1057,                 0.8794,                0.68962,                0.76585,                0.46504,                 1.3978,                 1.0593,                 1.4218,              0.0006601,              0.0006601,              0.0006601
                    106,                0.84989,                0.87248,                 1.1044,                0.87496,                0.70546,                0.77423,                 0.4551,                 1.4293,                 1.0353,                 1.4465,              0.0006568,              0.0006568,              0.0006568
                    107,                0.84856,                0.87067,                 1.1024,                0.86048,                0.70904,                0.77638,                0.45742,                 1.4266,                 1.0455,                 1.4387,              0.0006535,              0.0006535,              0.0006535
                    108,                0.85301,                0.86461,                 1.1009,                0.86459,                0.71141,                 0.7758,                0.45272,                 1.4564,                 1.0466,                 1.4614,              0.0006502,              0.0006502,              0.0006502
                    109,                0.85367,                0.86367,                 1.1006,                0.87392,                0.70181,                 0.7735,                0.45647,                 1.4346,                 1.0348,                 1.4563,              0.0006469,              0.0006469,              0.0006469
                    110,                0.83905,                0.85377,                 1.1014,                0.83986,                0.71341,                0.76956,                0.46171,                 1.4254,                 1.0515,                 1.4421,              0.0006436,              0.0006436,              0.0006436
                    111,                0.84643,                0.85834,                 1.0943,                0.87479,                0.70825,                0.77222,                0.45866,                 1.4293,                 1.0495,                 1.4533,              0.0006403,              0.0006403,              0.0006403
                    112,                0.85205,                0.86339,                 1.1012,                0.85164,                0.70399,                0.76992,                0.45424,                 1.4387,                 1.0544,                 1.4445,               0.000637,               0.000637,               0.000637
                    113,                0.84742,                0.86173,                 1.1013,                0.85875,                 0.6958,                0.77239,                0.45741,                 1.4232,                 1.0444,                 1.4325,              0.0006337,              0.0006337,              0.0006337
                    114,                0.83477,                0.85281,                 1.0955,                0.84809,                0.70479,                0.76868,                 0.4608,                 1.4121,                 1.0385,                 1.4339,              0.0006304,              0.0006304,              0.0006304
                    115,                0.85097,                0.85041,                 1.0979,                0.85205,                0.70171,                0.76433,                0.46145,                  1.401,                 1.0404,                 1.4281,              0.0006271,              0.0006271,              0.0006271
                    116,                0.84499,                0.85748,                 1.0978,                 0.8721,                 0.7123,                 0.7764,                0.45494,                 1.4432,                 1.0365,                 1.4577,              0.0006238,              0.0006238,              0.0006238
                    117,                0.84282,                0.85677,                 1.0987,                0.86851,                0.70516,                0.77098,                0.46862,                 1.3936,                 1.0224,                 1.4196,              0.0006205,              0.0006205,              0.0006205
                    118,                0.83153,                0.84775,                 1.0973,                 0.8486,                0.70594,                0.77173,                0.46851,                 1.3947,                 1.0133,                 1.4161,              0.0006172,              0.0006172,              0.0006172
                    119,                0.84269,                0.84818,                 1.0991,                0.87795,                0.71257,                 0.7698,                 0.4501,                 1.4551,                 1.0361,                 1.4634,              0.0006139,              0.0006139,              0.0006139
                    120,                0.83367,                0.84275,                 1.0924,                0.87962,                 0.7042,                 0.7766,                0.45876,                 1.4511,                 1.0164,                 1.4676,              0.0006106,              0.0006106,              0.0006106
                    121,                0.83781,                0.83885,                 1.0947,                0.86373,                    0.7,                0.76918,                0.46225,                 1.3823,                  1.025,                 1.4139,              0.0006073,              0.0006073,              0.0006073
                    122,                0.84725,                 0.8491,                 1.0972,                0.88688,                0.69957,                 0.7766,                0.46132,                 1.4328,                 1.0059,                 1.4543,               0.000604,               0.000604,               0.000604
                    123,                0.83065,                0.83876,                 1.0959,                0.89184,                0.70776,                 0.7789,                0.47182,                 1.3846,                 1.0125,                 1.4102,              0.0006007,              0.0006007,              0.0006007
                    124,                 0.8287,                0.83382,                  1.086,                0.86461,                0.71903,                0.78216,                0.47064,                 1.3998,                0.99387,                 1.4198,              0.0005974,              0.0005974,              0.0005974
                    125,                0.84048,                0.83534,                 1.0946,                0.88658,                0.71323,                0.77888,                 0.4618,                 1.4305,                0.99932,                 1.4457,              0.0005941,              0.0005941,              0.0005941
                    126,                0.83496,                0.83254,                 1.0924,                0.86182,                0.70728,                0.77203,                0.46037,                 1.4191,                0.99977,                 1.4407,              0.0005908,              0.0005908,              0.0005908
                    127,                0.83421,                0.83126,                 1.0913,                 0.8913,                0.70257,                0.77653,                0.45925,                 1.4439,                0.99658,                 1.4534,              0.0005875,              0.0005875,              0.0005875
                    128,                0.83789,                0.83947,                 1.0918,                0.87784,                0.70378,                0.77683,                0.47815,                 1.3747,                0.99042,                 1.4093,              0.0005842,              0.0005842,              0.0005842
                    129,                0.83175,                0.83051,                 1.0903,                  0.898,                0.70833,                0.78419,                0.47064,                 1.4089,                0.99568,                 1.4312,              0.0005809,              0.0005809,              0.0005809
