                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0408,                 1.0337,                 1.2482,                0.77662,                0.58648,                0.64837,                0.34263,                 1.7053,                 1.2811,                 1.7878,               0.007327,               0.007327,               0.007327
                     57,                  1.047,                 1.0231,                 1.2475,                0.79164,                0.63939,                0.69655,                0.35462,                 1.7243,                 1.1524,                 1.7684,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0328,                 1.0094,                 1.2384,                0.76084,                0.62646,                0.67605,                0.37784,                 1.6359,                 1.2068,                 1.7017,               0.007228,               0.007228,               0.007228
                     59,                 1.0334,                0.99937,                 1.2395,                0.77379,                0.65473,                0.69684,                0.36345,                 1.7505,                 1.1922,                 1.7617,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.0254,                0.99972,                 1.2383,                0.83964,                0.56396,                0.66024,                0.34862,                 1.7276,                 1.2518,                 1.7832,               0.007129,               0.007129,               0.007129
                     61,                 1.0211,                0.98559,                  1.232,                0.80702,                0.61986,                0.68958,                0.35816,                 1.7771,                 1.1758,                 1.8079,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0276,                 1.0051,                 1.2411,                0.83942,                 0.6284,                0.71181,                0.35621,                 1.7196,                 1.1862,                 1.7803,                0.00703,                0.00703,                0.00703
                     63,                 1.0124,                0.98008,                  1.223,                0.83866,                0.64843,                0.72452,                0.38065,                 1.6767,                 1.1378,                 1.7139,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.0169,                0.97523,                 1.2292,                0.82012,                0.62248,                0.68603,                0.34224,                 1.7326,                 1.2917,                 1.7874,               0.006931,               0.006931,               0.006931
                     65,                 1.0103,                0.96597,                  1.223,                0.75572,                0.62499,                0.66444,                0.33652,                  1.767,                 1.2692,                 1.7927,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0023,                0.97357,                 1.2223,                0.81207,                0.63109,                 0.6971,                0.36745,                 1.7018,                 1.1588,                 1.7479,               0.006832,               0.006832,               0.006832
                     67,                 1.0029,                0.97259,                 1.2233,                 0.7433,                0.64668,                0.69376,                0.38062,                 1.6541,                 1.1068,                 1.7082,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0025,                0.97215,                 1.2299,                0.84378,                0.62722,                 0.6999,                0.36639,                 1.7132,                 1.1963,                 1.7739,               0.006733,               0.006733,               0.006733
                     69,                 1.0165,                0.96911,                 1.2266,                0.81625,                0.64219,                0.70642,                0.38087,                 1.6944,                 1.1335,                 1.7489,              0.0066835,              0.0066835,              0.0066835
                     70,                  1.007,                0.96797,                 1.2227,                0.81938,                0.62027,                0.69433,                 0.3827,                 1.6195,                 1.0898,                 1.6735,               0.006634,               0.006634,               0.006634
                     71,                 1.0008,                0.95894,                 1.2202,                 0.8141,                0.59934,                0.67449,                0.37052,                 1.6789,                 1.2438,                 1.7397,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0058,                0.96489,                 1.2136,                0.79264,                0.66018,                0.70345,                0.37928,                 1.6824,                 1.0888,                 1.7554,               0.006535,               0.006535,               0.006535
                     73,                0.98781,                0.95012,                 1.2157,                0.81865,                0.64471,                0.71832,                0.38085,                  1.704,                 1.1213,                 1.7728,              0.0064855,              0.0064855,              0.0064855
                     74,                0.99745,                 0.9379,                 1.2101,                 0.8059,                0.63725,                0.71296,                0.39266,                 1.6206,                 1.1014,                  1.655,               0.006436,               0.006436,               0.006436
                     75,                0.99207,                0.92878,                 1.2078,                 0.7942,                0.65104,                0.71155,                0.36962,                 1.7516,                 1.1155,                 1.7897,              0.0063865,              0.0063865,              0.0063865
                     76,                0.98626,                0.93132,                 1.2076,                0.80597,                0.60697,                0.66709,                0.36112,                 1.6844,                  1.228,                 1.7873,               0.006337,               0.006337,               0.006337
                     77,                0.99081,                0.94413,                 1.2129,                0.84241,                0.61788,                0.69906,                0.37216,                 1.6924,                 1.1148,                 1.7638,              0.0062875,              0.0062875,              0.0062875
                     78,                0.98829,                0.92726,                 1.2067,                0.84625,                0.60691,                 0.6937,                0.37217,                 1.6814,                 1.1717,                  1.747,               0.006238,               0.006238,               0.006238
                     79,                0.96976,                0.91885,                 1.1991,                0.84877,                0.64082,                0.71884,                0.38569,                 1.6352,                  1.115,                  1.691,              0.0061885,              0.0061885,              0.0061885
                     80,                0.96944,                0.91456,                 1.1985,                0.84113,                0.66343,                0.73039,                0.39913,                 1.6293,                 1.0351,                 1.6774,               0.006139,               0.006139,               0.006139
                     81,                0.96319,                0.89663,                 1.1963,                 0.8466,                0.65273,                0.72252,                0.39042,                 1.6639,                 1.0493,                 1.7129,              0.0060895,              0.0060895,              0.0060895
                     82,                0.97588,                0.91909,                 1.2002,                0.87631,                0.62484,                0.71315,                0.39222,                 1.5604,                 1.1191,                 1.6702,                0.00604,                0.00604,                0.00604
                     83,                0.97699,                0.91506,                 1.2008,                0.78173,                0.63803,                0.68948,                 0.3857,                 1.5882,                 1.1627,                 1.6762,              0.0059905,              0.0059905,              0.0059905
                     84,                0.96952,                0.90566,                 1.1971,                0.83513,                0.64359,                0.72047,                0.37993,                 1.6938,                 1.0557,                  1.719,               0.005941,               0.005941,               0.005941
                     85,                0.97628,                0.91325,                 1.1958,                 0.8452,                0.65409,                0.72475,                0.40688,                 1.5985,                 1.0554,                 1.6834,              0.0058915,              0.0058915,              0.0058915
                     86,                0.97535,                0.89685,                 1.1936,                0.80694,                0.66071,                0.72811,                0.38932,                 1.7245,                 1.0493,                 1.7713,               0.005842,               0.005842,               0.005842
                     87,                 0.9731,                0.90464,                 1.1946,                0.84118,                0.66323,                0.72811,                0.39786,                 1.5967,                 1.0281,                 1.6827,              0.0057925,              0.0057925,              0.0057925
                     88,                0.97541,                0.90378,                 1.1966,                0.84346,                0.67109,                0.74899,                0.40706,                 1.6114,                 1.0258,                   1.67,               0.005743,               0.005743,               0.005743
                     89,                0.94608,                0.87621,                 1.1816,                0.81886,                 0.6632,                0.71897,                0.40495,                 1.5437,                 1.0439,                 1.6293,              0.0056935,              0.0056935,              0.0056935
                     90,                0.95693,                0.87883,                 1.1875,                0.87673,                0.66826,                0.74874,                0.41714,                 1.5903,                0.97015,                 1.6573,               0.005644,               0.005644,               0.005644
                     91,                0.96742,                0.88163,                 1.1891,                0.79186,                 0.6709,                0.71351,                0.39392,                 1.6093,                 1.0959,                 1.6777,              0.0055945,              0.0055945,              0.0055945
                     92,                 0.9506,                0.87257,                 1.1798,                0.86476,                0.66446,                 0.7388,                0.41126,                 1.5747,                0.99519,                 1.6395,               0.005545,               0.005545,               0.005545
                     93,                0.94594,                0.86554,                 1.1801,                0.82255,                0.67732,                0.72711,                0.38577,                 1.6615,                 1.0591,                 1.7447,              0.0054955,              0.0054955,              0.0054955
                     94,                0.94949,                0.87522,                 1.1819,                0.84741,                0.65481,                0.71881,                0.39179,                 1.6122,                 1.0736,                 1.6655,               0.005446,               0.005446,               0.005446
                     95,                0.95177,                0.86979,                 1.1818,                 0.8411,                0.68157,                0.74851,                0.40402,                 1.6619,                0.99379,                  1.713,              0.0053965,              0.0053965,              0.0053965
                     96,                 0.9372,                0.86041,                 1.1772,                0.83458,                   0.66,                0.73724,                 0.4206,                 1.5703,                 1.0059,                 1.6454,               0.005347,               0.005347,               0.005347
                     97,                0.94357,                0.86505,                 1.1802,                0.81325,                0.68941,                0.73235,                0.42485,                  1.532,                0.99828,                 1.6101,              0.0052975,              0.0052975,              0.0052975
                     98,                0.94323,                0.85556,                 1.1765,                0.85864,                0.66323,                0.74207,                0.41911,                 1.5862,                0.99874,                  1.673,               0.005248,               0.005248,               0.005248
                     99,                 0.9344,                0.85468,                 1.1713,                  0.865,                0.67633,                0.74307,                 0.4165,                 1.6047,                 1.0086,                 1.6558,              0.0051985,              0.0051985,              0.0051985
                    100,                0.93257,                 0.8476,                 1.1679,                0.88843,                0.66488,                0.75018,                0.42327,                  1.611,                0.99118,                 1.6709,               0.005149,               0.005149,               0.005149
                    101,                0.93596,                0.85445,                 1.1751,                0.87278,                0.65663,                0.73848,                0.41261,                  1.591,                 1.0121,                 1.6602,              0.0050995,              0.0050995,              0.0050995
                    102,                0.93067,                0.84392,                 1.1729,                0.84545,                0.66756,                0.73892,                0.42465,                 1.5493,                0.96134,                 1.6349,                0.00505,                0.00505,                0.00505
                    103,                0.93979,                0.83954,                 1.1752,                0.87491,                0.66523,                0.73845,                 0.4001,                 1.6458,                 1.0215,                 1.7212,              0.0050005,              0.0050005,              0.0050005
                    104,                0.93075,                0.85022,                 1.1714,                 0.8263,                0.67166,                0.74049,                0.41066,                 1.6128,                 1.0063,                 1.6983,               0.004951,               0.004951,               0.004951
                    105,                0.93095,                0.83932,                 1.1714,                0.86932,                0.68945,                0.75175,                0.43979,                 1.4693,                0.93983,                 1.5664,              0.0049015,              0.0049015,              0.0049015
                    106,                0.91897,                0.82619,                 1.1618,                 0.8633,                0.68188,                0.75814,                0.41857,                 1.5841,                0.96779,                 1.6639,               0.004852,               0.004852,               0.004852
                    107,                0.92013,                0.82459,                 1.1612,                0.85268,                0.69249,                0.74266,                 0.4287,                 1.5298,                0.94478,                 1.6215,              0.0048025,              0.0048025,              0.0048025
                    108,                0.92973,                0.83224,                 1.1639,                0.88275,                0.67785,                   0.76,                0.43026,                 1.5075,                0.94049,                 1.6159,               0.004753,               0.004753,               0.004753
                    109,                0.92709,                0.82331,                 1.1654,                0.84665,                0.69867,                0.75875,                0.42889,                 1.5468,                0.93776,                 1.6306,              0.0047035,              0.0047035,              0.0047035
                    110,                0.93138,                0.83321,                 1.1711,                0.85835,                0.69229,                0.75614,                0.41958,                  1.561,                0.96985,                 1.6222,               0.004654,               0.004654,               0.004654
                    111,                0.91838,                0.82901,                 1.1611,                0.87313,                0.69575,                0.76749,                0.44956,                 1.5029,                0.90536,                 1.5952,              0.0046045,              0.0046045,              0.0046045
                    112,                0.92008,                0.81891,                  1.159,                0.87788,                 0.6902,                0.75293,                0.42865,                 1.5838,                0.95878,                 1.6604,               0.004555,               0.004555,               0.004555
                    113,                0.91956,                 0.8152,                 1.1596,                0.88276,                0.67601,                0.75325,                0.44615,                 1.4749,                0.95638,                 1.5698,              0.0045055,              0.0045055,              0.0045055
                    114,                0.90634,                0.80279,                 1.1524,                0.88782,                0.67075,                0.76044,                0.43882,                 1.5075,                0.92336,                 1.6069,               0.004456,               0.004456,               0.004456
                    115,                0.91298,                0.80954,                 1.1538,                0.88131,                0.68312,                0.76045,                0.43685,                   1.54,                0.93161,                  1.622,              0.0044065,              0.0044065,              0.0044065
                    116,                0.90286,                0.79536,                 1.1464,                0.87066,                0.67923,                0.75175,                0.43895,                 1.4683,                0.91421,                 1.5556,               0.004357,               0.004357,               0.004357
                    117,                0.90351,                0.80019,                 1.1454,                0.89145,                0.66626,                0.76074,                 0.4477,                 1.4666,                0.92558,                 1.5734,              0.0043075,              0.0043075,              0.0043075
                    118,                0.89665,                0.78976,                 1.1478,                0.84821,                0.71032,                 0.7574,                0.43945,                 1.4666,                0.91875,                 1.5641,               0.004258,               0.004258,               0.004258
                    119,                0.89546,                0.79391,                 1.1447,                 0.8403,                0.68677,                0.75694,                0.44704,                 1.4848,                0.93301,                 1.5693,              0.0042085,              0.0042085,              0.0042085
                    120,                0.89482,                0.79132,                  1.147,                 0.8933,                0.68933,                0.75869,                0.45027,                 1.4763,                0.89625,                 1.5575,               0.004159,               0.004159,               0.004159
